#    X_IMAGE      Y_IMAGE    X_WORLD    Y_WORLD    FLUX_STACK        FLUX_0        FLUX_1        FLUX_2        FLUX_3        FLUX_4        MEDIAN         SNR
 2018.385620  1847.695312  50.087103  41.398359  6.191349e+05  6.161556e+05  6.187968e+05  6.170636e+05  6.155149e+05  6.117472e+05  6.162892e+05  236.850212
  492.141998  1604.468750  50.005379  41.411254  4.636353e+04  5.249337e+04  4.383269e+04  4.124848e+04  4.073267e+04  4.201428e+04  4.163138e+04   35.431028
 2199.291504  1601.351318  50.091490  41.386418  3.373262e+04  3.412084e+04  3.101656e+04  2.833165e+04  3.190654e+04  3.093019e+04  3.097338e+04   23.209903
 1950.554321  1787.182251  50.082515  41.397053  3.086740e+04  3.481744e+04  2.903429e+04  2.979449e+04  2.994383e+04  3.050353e+04  2.986916e+04   56.944381
 1127.601074  1564.143677  50.036688  41.400534  2.627749e+04  2.635877e+04  2.507298e+04  2.437715e+04  2.574552e+04  2.983001e+04  2.540925e+04   11.990123
 1863.912842  1842.792847  50.079213  41.400412  1.380441e+05  1.367128e+05  1.347577e+05  1.391351e+05  1.382019e+05  1.388432e+05  1.385225e+05   79.088767
  555.887085  1804.665649  50.012444  41.417907  2.490291e+05  2.479535e+05  2.448683e+05  2.437207e+05  2.456229e+05  2.483063e+05  2.452456e+05  145.345068
 1739.918213  1764.192505  50.071442  41.399236  4.197581e+05  3.979888e+05  4.447977e+05  4.187378e+05  4.031539e+05  3.902019e+05  4.109458e+05   20.204606
 1900.941162  2172.789307  50.087434  41.412359  1.143234e+04  1.047873e+04  9.161828e+03  1.094157e+04  9.831141e+03  1.368624e+04  1.038636e+04    6.014518
 1268.895020  1521.939209  50.043009  41.396892  1.540319e+04  1.467198e+04  1.595010e+04  1.546859e+04  1.419495e+04  1.641532e+04  1.570935e+04   18.965755
 2317.744873  1510.336182  50.095715  41.381257  1.032027e+05  1.040972e+05  1.039443e+05  1.044898e+05  9.993639e+04  9.777066e+04  1.019403e+05   36.464709
 2286.025635  1493.814209  50.093797  41.381092  1.466058e+05  5.990209e+04  6.534749e+04  6.875325e+04  7.369462e+04  6.241607e+04  6.705037e+04   15.981094
 2634.305176  1543.310059  50.112320  41.377913  5.971283e+04  6.190402e+04  6.772921e+04  6.705777e+04  6.506673e+04  6.319890e+04  6.606225e+04   37.219187
 2188.951416  1297.432129  50.085120  41.375071  4.202600e+05  2.934976e+06  5.552108e+05  3.711494e+05  3.434522e+05  2.809494e+06  4.631801e+05    0.446884
 1938.709229  2019.053345  50.086381  41.405996  4.198530e+04  4.040261e+04  4.172438e+04  4.321499e+04  4.010342e+04  4.212718e+04  4.192578e+04   37.525380
 1391.083130  1450.414673  50.047801  41.392417  3.083988e+06  3.076475e+06  3.085866e+06  3.068303e+06  3.047031e+06  3.063642e+06  3.065972e+06  221.678074
 2358.104736  1503.831665  50.097626  41.380426  1.582154e+04  1.496691e+04  1.620686e+04  1.938721e+04  1.694847e+04  1.888850e+04  1.791848e+04   13.589874
 1560.487061  1415.915649  50.055687  41.388659  3.966405e+05  3.941028e+05  3.942502e+05  3.962974e+05  3.922431e+05  3.956839e+05  3.949670e+05  253.214380
  825.183411  1424.545532  50.018739  41.399628  2.730349e+04  2.613007e+04  2.959015e+04  2.647119e+04  2.535739e+04  2.661469e+04  2.654294e+04   16.927572
 2254.690918  1282.762207  50.088154  41.373563  6.525763e+06  5.402323e+06  6.589208e+06  6.459574e+06  6.595510e+06  5.136627e+06  6.524390e+06   10.633181
 1765.916260  1376.657471  50.065299  41.384198  2.251920e+04  2.053745e+04  1.928657e+04  2.193198e+04  2.179846e+04  2.511385e+04  2.186522e+04   10.575219
  594.654663  2142.849609  50.020900  41.430144  1.139529e+06  1.132532e+06  1.158813e+06  1.135221e+06  1.130998e+06  1.004935e+06  1.133110e+06   18.837294
 1905.638916  1275.276978  50.070400  41.378338  1.140956e+06  1.132217e+06  1.137179e+06  1.148209e+06  1.132570e+06  1.125234e+06  1.134875e+06  136.139121
 1289.537476  1271.519531  50.039237  41.387119  3.577709e+05  3.533076e+05  3.569334e+05  3.523147e+05  3.556850e+05  3.513666e+05  3.539999e+05  153.780545
 1151.001343  1242.710938  50.031692  41.388034  2.171084e+06  2.165838e+06  2.180188e+06  2.151672e+06  2.161428e+06  2.156594e+06  2.159011e+06  199.995478
  503.774689  1237.023193  49.998911  41.397180  2.101613e+05  2.157649e+05  2.112649e+05  2.089611e+05  2.105290e+05  2.093448e+05  2.099369e+05  228.183223
  629.956909  2038.482056  50.020677  41.425684  1.174839e+05  1.165924e+05  1.141506e+05  1.159595e+05  1.172541e+05  1.195744e+05  1.166068e+05   59.023123
 1303.506714  1216.108643  50.038877  41.384820  2.649339e+05  2.639369e+05  2.613949e+05  2.588355e+05  2.613988e+05  2.605655e+05  2.609802e+05  249.572149
 1006.322449  1231.340820  50.024171  41.389697  1.174125e+05  1.132964e+05  1.144465e+05  3.884574e+04  1.154993e+05  1.144769e+05  1.144617e+05    3.479591
 1851.350586  1179.945435  50.065827  41.375518  2.240552e+05  2.176494e+05  2.219910e+05  2.224187e+05  2.177688e+05  2.140477e+05  2.198799e+05   64.377275
 1548.448608  1144.334229  50.049859  41.378558  4.413492e+06  4.399362e+06  4.416599e+06  4.395536e+06  4.369662e+06  4.357340e+06  4.382599e+06  190.836853
